strategy,cache_information,bandwidth_allocation,seed_count,avg_latency_ms_mean,avg_latency_ms_std,median_latency_ms_mean,median_latency_ms_std,p95_latency_ms_mean,p95_latency_ms_std,cache_hit_ratio_mean,cache_hit_ratio_std,backhaul_traffic_mbits_mean,backhaul_traffic_mbits_std,backhaul_load_ratio_mean,backhaul_load_ratio_std,avg_wireless_rate_mbps_mean,avg_wireless_rate_mbps_std,avg_latency_ms_delta_vs_random_mean,avg_latency_ms_delta_vs_random_std,p95_latency_ms_delta_vs_random_mean,p95_latency_ms_delta_vs_random_std,cache_hit_ratio_delta_vs_random_mean,cache_hit_ratio_delta_vs_random_std,backhaul_load_ratio_delta_vs_random_mean,backhaul_load_ratio_delta_vs_random_std
Random caching + equal BW,seeded random baseline,equal,5,1228.3053535660263,78.65986821846889,929.5050511811685,125.38039223146896,3162.1343693419644,341.0097737198846,0.1774,0.031875539211125514,8273.934746802863,1074.8255155783381,0.8226000000000001,0.031875539211125514,5.604388705470266,0.25139246296627876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prior-informed popularity caching + equal BW,known Zipf prior,equal,5,1179.949498137011,76.25622167122137,889.435908551907,122.94260457456818,3089.118370661777,339.6540654913346,0.5519999999999999,0.027890410538391128,4596.363660999839,293.04635804738047,0.44800000000000006,0.027890410538391135,5.604388705470266,0.25139246296627876,-48.355855429015264,5.756649369953655,-73.01599868018702,40.96462471063526,0.37460000000000004,0.04257405313098579,-0.3746,0.04257405313098577
Local popularity caching + equal BW,training prefix,equal,5,1180.3969534775185,76.00666325617776,890.7454862822678,123.41345471056404,3085.031383833183,339.5554510119749,0.5476,0.025481365740477865,4615.4547291013305,293.9727395595303,0.4524,0.025481365740477872,5.604388705470266,0.25139246296627876,-47.90840008850769,5.528046337009162,-77.10298550878125,41.77855267582963,0.37020000000000003,0.039748584880470894,-0.37020000000000003,0.039748584880470894
Greedy caching + equal BW,training prefix,equal,5,1180.5323157205632,73.937732539072,889.0179449294234,125.7592848743581,3095.44451411041,350.05516544755153,0.5624,0.01868956928342647,4879.327177710249,307.4860953140253,0.43760000000000004,0.01868956928342653,5.604388705470266,0.25139246296627876,-47.773037845463115,6.452203330768326,-66.68985523155406,38.99497372732466,0.38500000000000006,0.02261083810919006,-0.385,0.022610838109190016
UCB-style MAB caching + equal BW,selected-arm training feedback,equal,5,1183.2541655533664,75.27797305046249,891.604390044425,124.79375844350251,3106.8311136502316,354.52420760218837,0.5402,0.020428533965999616,5068.497144270872,346.9435003264759,0.4598,0.020428533965999602,5.604388705470266,0.25139246296627876,-45.051188012660035,5.966225303746111,-55.30325569173274,45.56869794104045,0.3628,0.023258331840439475,-0.3628,0.023258331840439465
