strategy,cache_information,bandwidth_allocation,training_request_count,evaluation_request_count,actual_training_fraction,avg_latency_ms,median_latency_ms,p95_latency_ms,latency_std_ms,cache_hit_ratio,backhaul_traffic_mbits,backhaul_load_ratio,avg_wireless_rate_mbps,bandwidth_fairness_index,wireless_rate_fairness_index,avg_wireless_delay_ms,avg_backhaul_delay_ms,avg_requested_file_size_mbits
Random caching + equal BW,seeded random baseline,equal,3000,2000,0.6,1283.899044630955,1053.9426231267676,2967.9612864434735,874.163009119081,0.165,8429.95233503893,0.835,5.518827904059061,0.9810218978102186,0.7732456948183604,1174.9492829557605,108.94976167519464,5.0480671133965895
Prior-informed popularity caching + equal BW,known Zipf prior,equal,3000,2000,0.6,1234.5781724870808,1009.32930755741,2845.362558595961,862.2150526714397,0.5205,4253.777906264058,0.4795,5.518827904059061,0.9810218978102186,0.7732456948183604,1174.9492829557605,59.62888953132029,5.0480671133965895
Local popularity caching + equal BW,training prefix,equal,3000,2000,0.6,1233.6395265696829,1009.32930755741,2845.362558595961,865.2436879186021,0.5355,4306.048722784485,0.4645,5.518827904059061,0.9810218978102186,0.7732456948183604,1174.9492829557605,58.69024361392242,5.0480671133965895
Greedy caching + equal BW,training prefix,equal,3000,2000,0.6,1231.400284310942,1009.1359984642585,2910.1689345037994,881.591941788675,0.5815,4594.200271036277,0.4185,5.518827904059061,0.9810218978102186,0.7732456948183604,1174.9492829557605,56.45100135518139,5.0480671133965895
UCB-style MAB caching + equal BW,selected-arm training feedback,equal,3000,2000,0.6,1234.3461828005886,1009.2252259061815,2910.1689345037994,881.1220659047528,0.555,4759.379968965616,0.445,5.518827904059061,0.9810218978102186,0.7732456948183604,1174.9492829557605,59.39689984482808,5.0480671133965895
