strategy,avg_latency_ms,median_latency_ms,p95_latency_ms,latency_std_ms,cache_hit_ratio,backhaul_traffic_mbits,backhaul_load_ratio,avg_wireless_rate_mbps,bandwidth_fairness_index,wireless_rate_fairness_index,avg_wireless_delay_ms,avg_backhaul_delay_ms,avg_requested_file_size_mbits
Random caching + equal BW,1257.5815847200456,1028.812808128998,2866.9495300874883,860.2394078003521,0.1672,20801.631800470517,0.8328,5.60169793036895,0.9810218978102186,0.7732456948183604,1149.3543211191047,108.22726360094103,5.000406820390393
Popularity caching + equal BW,1210.703172218279,989.3365290613751,2801.554665705872,847.3574785583166,0.5054,10890.425549587173,0.4946,5.60169793036895,0.9810218978102186,0.7732456948183604,1149.3543211191047,61.34885109917434,5.000406820390393
Local popularity caching + equal BW,1208.9585128365416,989.0962968148832,2802.349359150677,849.8061273564975,0.5264,10858.095858718465,0.4736,5.60169793036895,0.9810218978102186,0.7732456948183604,1149.3543211191047,59.60419171743693,5.000406820390393
Greedy caching + equal BW,1206.019677233818,983.4054344701506,2823.158403468942,865.1329997286313,0.5792,11500.678057356643,0.4208,5.60169793036895,0.9810218978102186,0.7732456948183604,1149.3543211191047,56.66535611471329,5.000406820390393
Greedy caching + demand-aware BW,1204.326840798203,892.2402062016426,3230.3410061403574,1067.2517404747996,0.5792,11500.678057356643,0.4208,7.073228436382741,0.7553867844018847,0.6396841467656779,1147.6614846834893,56.66535611471329,5.000406820390393
